t40,mv40,t80,mv80,t115,mv115,t1925,mv1925,t255,mV255
0,255,0,255,0,255,0,255,0,255
12.3,248,19.83,249,29.87,249.1,28.22,252,29.74,251
24.61,241.4,39.65,243,59.74,241,56.43,249,59.48,248
36.91,235,59.48,237.5,89.61,235.4,84.65,245,89.22,246
49.22,226.8,79.3,231,119.48,227,112.87,243,118.96,244
61.52,220,99.13,225,149.35,222,141.09,239,148.7,240
73.83,210.2,118.96,220,179.22,216.8,169.3,236,178.43,238
86.13,200.9,138.78,209.1,209.09,211,197.52,232.5,208.17,235
98.43,194.1,158.61,204,238.96,204,225.74,229,237.91,232
110.74,189,178.43,200,268.83,198,253.96,223,267.65,230
123.04,184,198.26,195,298.7,192,282.17,220.8,297.39,228
135.35,178,218.09,190,328.57,185,310.39,218,327.13,225
147.65,173,237.91,185,358.43,177,338.61,214,356.87,222
159.96,168,257.74,180.3,388.3,172,366.83,211.2,386.61,216.4
172.26,163,277.57,176,418.17,168,395.04,209,416.35,211
184.57,157,297.39,171.6,448.04,162,423.26,205.7,446.09,207
196.87,153,317.22,167,477.91,156,451.48,202,475.83,204
209.17,148,337.04,161,507.78,152,479.7,199,505.57,203
221.48,144,356.87,157.1,537.65,145.3,507.91,196,535.3,200
233.78,140,376.7,154,567.52,141.5,536.13,195,565.04,198
246.09,136,396.52,150,597.39,138,564.35,192,594.78,197
258.39,131.6,416.35,147,627.26,135,592.57,189,624.52,195
270.7,129,436.17,143,657.13,132.9,620.78,187,654.26,192
283,126,456,139,687,128,649,182,684,190